competitor_key,classification,serp_mentions,local_mentions,example_title,example_domain,example_url
thervo.com,provider_or_system,12,0,"The 10 Best Therapists in Louisville, KY (with Free Quotes)",thervo.com,https://thervo.com/ky/louisville/therapists/
rcclouisville.com,provider_or_system,12,11,Revelation Counseling Center,rcclouisville.com,http://www.rcclouisville.com/
louisvillebehavioral.com,provider_or_system,12,2,Louisville Behavioral Health,louisvillebehavioral.com,http://www.louisvillebehavioral.com/
thebrookhospitals.com,health_system_or_cmha,12,2,The Brook Hospital - KMI,thebrookhospitals.com,https://thebrookhospitals.com/
peacefulsc.com,provider_or_system,12,5,Peaceful Solutions Counseling Inc,peacefulsc.com,http://www.peacefulsc.com/
holliecolwickcounseling.com,provider_or_system,12,12,Hollie Colwick Counseling,holliecolwickcounseling.com,http://www.holliecolwickcounseling.com/
whas11.com,provider_or_system,12,0,Expanded Pediatric NeuroRecovery center opens in Louisville,whas11.com,https://www.whas11.com/video/news/local/expanded-pediatric-neurorecovery-center-opens-in-louisville/417-b3330259-5921-4ab5-acbf-1c323d6cdffd
haganhealth.com,provider_or_system,12,0,Hagan Health: Mental Health Services Louisville KY,haganhealth.com,https://haganhealth.com/
images,provider_or_system,12,0,Images,,
cardinalfamilycare.com,provider_or_system,12,12,Cardinal Family Care,cardinalfamilycare.com,https://www.cardinalfamilycare.com/
mindfulmending.com,provider_or_system,11,6,Mindful Mending,mindfulmending.com,http://www.mindfulmending.com/
uoflphysicians.com,provider_or_system,11,11,UofL Physicians-Psychiatry,uoflphysicians.com,http://www.uoflphysicians.com/psychiatry?tab=our-locations
bantacounseling.com,provider_or_system,11,11,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/
childwithintherapy.com,provider_or_system,11,1,The Child Within: Therapist for Young Child in Louisville,childwithintherapy.com,https://www.childwithintherapy.com/
mapquest.com,provider_or_system,11,0,"Children's Therapy Center, Louisville, KY 40299, US",mapquest.com,https://www.mapquest.com/us/kentucky/childrens-therapy-center-447400956
kentuckianamobiletherapy.com,provider_or_system,11,1,Kentuckiana Mobile Therapy,kentuckianamobiletherapy.com,http://www.kentuckianamobiletherapy.com/
therapyfinder.com,provider_or_system,11,0,"420 Best Therapists in Louisville, KY (Available Now)",therapyfinder.com,https://therapyfinder.com/therapists/louisville-ky
louisvilleexpressivetherapies.com,provider_or_system,11,9,Louisville Expressive Therapies,louisvilleexpressivetherapies.com,https://louisvilleexpressivetherapies.com/
findapsychologist.org,provider_or_system,10,0,"Louisville, KY - Find a Psychologist",findapsychologist.org,https://www.findapsychologist.org/cities/psychologists-in-louisville/
mentalhealthmatch.com,directory,10,0,"Female Therapists in Louisville, KY",mentalhealthmatch.com,https://mentalhealthmatch.com/browse-therapists/kentucky/louisville/female-therapists
talkspace.com,provider_or_system,10,0,"Find Louisville, KY therapists, counselors and psychiatrists",talkspace.com,https://www.talkspace.com/therapists/ky/louisville
olivebranchfamilycounseling.com,provider_or_system,10,5,Olive Branch Family Counseling,olivebranchfamilycounseling.com,http://www.olivebranchfamilycounseling.com/
btgamh.com,provider_or_system,10,10,"Bridge The Gap Addiction and Mental Health Services, PLLC",btgamh.com,https://www.btgamh.com/
providers.nortonchildrens.com,provider_or_system,10,5,"Paul J Rosen, PhD",providers.nortonchildrens.com,https://providers.nortonchildrens.com/provider/Paul+J+Rosen/2480894?utm_source=third-party&utm_medium=listings&utm_campaign=ncbmh-dtc&utm_content=provider-profile
