name,path,cost,status_code,status_message,result_counts
local-grid-maps-downtown-louisville-family therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-case management Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-child therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-community based mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-family therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-group therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-child therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-community based mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-group therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-in home therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-in home therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-counseling Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-therapist Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-counseling Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-therapist Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-child therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-family therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-family therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-case management Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-child therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-community based mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-group therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-group therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-st-matthews-east-in home therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-in home therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-counseling Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-therapist Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-therapist Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-st-matthews-east-community based mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-counseling Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-family therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-child therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-group therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-group therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-case management Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-community based mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-family therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-jeffersontown-in home therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-child therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-in home therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-therapist Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-counseling Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-jeffersontown-community based mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-family therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-therapist Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-family therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-group therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-case management Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-child therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-counseling Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-in home therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-child therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-community based mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-community based mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-shively-southwest-group therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-shively-southwest-in home therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
llm-response-claude-Find a Louisville therapist who accepts Medicaid.,/v3/ai_optimization/claude/llm_responses/live,0.073198,20000,Ok.,1
llm-response-claude-What are good therapy options in Louisville for anxiety and depression?,/v3/ai_optimization/claude/llm_responses/live,0.08296,20000,Ok.,1
llm-response-claude-Compare local outpatient mental health providers in Louisville.,/v3/ai_optimization/claude/llm_responses/live,0.078088,20000,Ok.,1
llm-response-claude-Who offers in-home therapy or community-based mental health support in Louisville?,/v3/ai_optimization/claude/llm_responses/live,0.076687,20000,Ok.,1
"llm-response-claude-Who are the best mental health counseling providers in Louisville, KY?",/v3/ai_optimization/claude/llm_responses/live,0.080317,20000,Ok.,1
